"Tipo","Clase","Nombre","Autor","Año","Colección","Estado","Presta","Comunidad","ID","Tel"
"Texto guia","Matematicas","Aritmetica y geometria","Samuel londoño L",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aritmetica y geometria","Samuel londoño L",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aritmetica y geometria primer año de enseñanza","leonor Alarcon de Garzon","1967","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aritmetica, curso superior","G.M. Bruno","1959","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aritmetica, geometria y contabilidad","Samuel londoño L","1968","general","Disponible","Name","Comunity","Number","Number"
"cartilla","castellano","aroma de nispero","ricardo rendon","1953","Infantil","Disponible","Name","Comunity","Number","Number"
"cartilla","castellano","aroma de nispero","ricardo rendon","1953",NA,"Disponible","Name","Comunity","Number","Number"
"Texto guia","Arte","arte y musica 1","Olga lucia Olaya Parra","2004","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Arte","arte y musica 1","Olga lucia Olaya Parra","2004","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","agropecuaria","arte y musicasanias/ libro 10","Jose Antonio Hernandez","1978","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","asi nacemos","Angeles torner hermandes","2000","Infantil","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas de anatomia vegetal","V. Muerda","1996","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. sociales","Atlas de arqueologia","A. Padilla Bolivar","1967","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas de botanica","J.M. Thomas Domenech","1966","general","Disponible","Name","Comunity","Number","Number"
"Atlas","Fisica","Atlas de Fisica","Fernandez Ferrer","1966","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. sociales","Atlas de historia universal","J. Vicens Vives","1957","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas de la enfermera","Ana Maria Calera","1966","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. sociales","Atlas de la historia universal","E. Valles Perdrix","1967","general","Disponible","Name","Comunity","Number","Number"
"Atlas","Filosofia","Atlas de la vida de Jesus","Sebastian Bartinas","1966","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. sociales","Atlas de las razas humanas","A. Padilla Bolivar","1967","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas de mineralogia","M. Font-Altaba","1967","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas de quimica","Maria Angeles Febrer Canals","1966","general","Disponible","Name","Comunity","Number","Number"
"libro","C. naturales","atlas de zoologia","volney tovar","1995","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas de zoologia","A. de Haro Vera","1966","general","Disponible","Name","Comunity","Number","Number"
"Atlas","C. naturales","Atlas elemental de cirugia","M. Beltran Florez","1964","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. sociales","Atlas visual del tolima","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. sociales","Atlas, ingles visual para todos","Maria Esther Milera Martinez",NA,"general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Aura","Carlos Fuentes","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Aura","Carlos Fuentes","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Aura","Carlos Fuentes","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Aura","Carlos Fuentes","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Aura","Carlos Fuentes","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","Aura","Carlos Fuentes","2003","general","Disponible","Name","Comunity","Number","Number"
"enciclopedia","C. sociales","Autodidactica Oceano Color: Astronomia, historia universal, historia latinoamericana, Soluciones ejercicios, indices","Corporativo","1996","general","Disponible","Name","Comunity","Number","Number"
"enciclopedia","C. sociales","Autodidactica Oceano Color: Atlas universal, Geografia universal, Geografia general, Geografia descriptiva, geologia, astronomia","Corporativo","1996","general","Disponible","Name","Comunity","Number","Number"
"enciclopedia","C. naturales","Autodidactica Oceano Color: Ecologia, Biologia, Antropologia, Botanica, Zoologia, Paleontologia","Corporativo","1996","general","Disponible","Name","Comunity","Number","Number"
"enciclopedia","Fisica","Autodidactica Oceano Color: Fisica II, Teoria de campos, la relatividad, Fisica nuclear, Electronica, tecnologia, Quimica, Quimica organica","Corporativo","1996","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Autores ingleses","Tomas Villarraga S.J","1958","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Salud","Auxiliar en enfermeria","SENA","1963","general","Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico","castellano","aven buca","Corporativo","1976","general","Disponible","Name","Comunity","Number","Number"
"litaratura universal","castellano","AVEZ DE PRESA","WILBUR SMIT","1997","general","Disponible","Name","Comunity","Number","Number"
"litaratura universal","castellano","AVEZ DE PRESA","WILBUR SMIT","1997","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","AXIS Enciclopedia de Geografia","lluis borras","1999",NA,"Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Azul arriba y azul abajo","Julieta Montelongo","1986","Infantil","Disponible","Name","Comunity","Number","Number"
"cartilla","castellano","azul rey","no tiene","no tiene",NA,"Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Ba - Bau se ha perdido","Pez Alberto","2004","Infantil","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","Arte","bandas estuantiles de musica","Corporativo","2003","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Barrabas","Par Lagerkvist",NA,"general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","barro de medellin","alfredo gomez cerda","1951","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","batallas en el monte de venus","Oscar Collazos","2003","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Salud","Beisbol: fundamentos, practica y conocimientos","Tony Pacheco","1974","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","Benjamin y las historias de la almohadas","Stephane Poulin","1991","Infantil","Disponible","Name","Comunity","Number","Number"
"cartilla","castellano","benny","sieb posthuma","2004",NA,"Disponible","Name","Comunity","Number","Number"
"diccionario enciclopedico larousse","castellano","beocia crinoideo","Corporativo","1979","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Besos como balas","Gustavo Colorado Grisales","2003","general","Disponible","Name","Comunity","Number","Number"
"libro","Salud","Biblioteca de la recreación y el tiempo libre","Carlos Roberto Jimenez","1998","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Biblioteca de selecciones","varios","1960","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","bibliotecario","heather miller",NA,NA,"Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Bibliotecas escolares, para qué?","Monica Baro","2001","general","Disponible","Name","Comunity","Number","Number"
"contenido","castellano","bichos en el jardin","carol a. amato",NA,NA,"Disponible","Name","Comunity","Number","Number"
"diccionario","castellano","bienvenidos ala fiesta","luis daniel gonzalez","2000","general","Disponible","Name","Comunity","Number","Number"
"revista/ coleccionable","C. naturales","Biodiversidad, sustento y culturas","Corporativo","2009","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia","Claude A. Villee","1961","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia animal","H. Alegandro Octavio","1972","general","Disponible","Name","Comunity","Number","Number"
"libro","C. naturales","Biologia celular","Carlos Castaño","NAA","GENERAL","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","biologia integrada","Gloria Salamanca de Recio",NA,"general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia integrada 3","Eduardo Vega J","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia integrada 3","Eduardo Vega J","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia integrada 3","Eduardo Vega J","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia integrada 3","Eduardo Vega J","1981","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia vegetal","Jose de Recasens","1969","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia vegetal","Francisco Galindo Guerrero","1965","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","C. naturales","Biologia, ciclo 3","Angelica Maria Grisales Giraldo",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","bodas de sangre","Federico García Lorca","2004","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","bodas de sangre","Federico García Lorca","2004","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Bola de sebo","Guy de Maupassant","2005","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Boletin cultural y bibliografico","Corporativo","1969","general","Disponible","Name","Comunity","Number","Number"
